control	1
yaw_angle	1
cmd_type	0
pose_x	pose_y	pose_z	heading
2.250000	2.250000	0.000000	3.141592
2.250000	2.250000	1.000000	3.141592
2.250000	2.250000	1.500000	2.356194
2.250000	2.250000	2.000000	1.570796
2.250000	2.250000	1.500000	0.785398
2.250000	2.250000	1.000000	0.000000
2.250000	2.250000	0.300000	-0.785398
2.250000	2.250000	1.000000	-1.570796
2.250000	2.250000	1.500000	-2.356194
2.250000	2.250000	2.000000	3.141592
2.250000	2.250000	1.500000	2.356194
2.250000	2.250000	1.000000	1.570796
2.250000	2.250000	0.300000	0.785398
2.250000	2.250000	1.000000	0.000000
2.250000	2.250000	0.300000	-0.785398
2.250000	2.250000	1.000000	-1.570796
2.250000	2.250000	1.500000	-2.356194
2.250000	2.250000	2.000000	3.141592
2.250000	2.250000	1.500000	2.356194
2.250000	2.250000	1.000000	1.570796
2.250000	2.250000	0.300000	0.785398
2.250000	2.250000	1.000000	0.000000
